agency_ID,status,delivery_address,order_ID
204,Delivered,030 Hellen Underpass Suite 275 Gilesburg,2
201,Transit,04213 Osinski Greens Suite 504 Melyssash,11
208,Processing,"050 Price Forest Rachaelport, UT 06191-0",13
212,Out for Delivery,05394 Torp Highway Apt. 540 North Enriqu,15
212,Transit,"05500 Sylvester Manors New Samantha, KY ",20
201,Out for Delivery,056 Bartoletti Ford Suite 754 East Naomi,21
204,Out for Delivery,"06560 Madyson Cliff New Tremainefort, ND",22
212,Delivered,"0697 Reichel Wall Apt. 708 Ratkeshire, A",34
208,Delivered,070 Goyette Cove Suite 581 Lake Elmirasi,35
204,Processing,"07581 Joanie Well Heidenreichberg, DE 28",37
212,Out for Delivery,"0882 Brakus Mill Suite 163 Mortimerfort,",39
212,Delivered,"11509 Goyette Locks Apt. 319 Littleland,",44
208,Transit,1167 Hagenes Trail Apt. 875 North Delane,45
204,Processing,"1191 Mann Drives Suite 410 Kulasfort, SD",52
208,Processing,"1196 Tavares Lock West Earline, TN 38999",55
201,Out for Delivery,"121 McGlynn Point Apt. 507 Claudieberg, ",61
208,Processing,"12341 Jerry Drive Bradtkefurt, HI 53430",63
204,Processing,"1310 Garrick Bridge East Kellen, WI 8595",67
112,Processing,13370 Charlotte Union Apt. 901 Keelingbe,69
104,Processing,"1552 Beer Terrace Lake Daynaberg, IN 936",70
101,Processing,1563 Ritchie Fall Suite 164 North Jackie,71
101,Processing,"184 Schultz Road North Linwood, AZ 75503",76
103,Processing,"1908 Tyrese Mill New Christopfurt, MO 19",77
104,Out for Delivery,"198 Bogisich Camp Suite 999 Ryanfurt, CA",78
101,Out for Delivery,"208 Arnoldo Ways Apt. 564 North Janet, O",81
101,Processing,"2096 Haag Track South Ryannside, DC 9688",86
112,Delivered,"2207 Isabella Radial Leannonmouth, AZ 24",89
103,Processing,"23043 Corwin Meadows Letaton, VT 47348-3",92
104,Processing,"243 Schulist Lake Apt. 063 New Hannah, M",98
104,Transit,2466 Maribel Vista Apt. 032 South Kaitli,100
