employee_ID,employee_name,department_name,available_days,employee_store_ID
435,Albina Jakubowski,HR,1,1
552,Prof. Taryn Gerhold,Sales,4,5
645,Dave Wiza,Accounts,2,1
770,Arielle Beahan,Functional,3,4
1087,Keyon Prosacco III,Sales,7,4
1662,Cydney Auer,HR,5,3
1733,Viva Fay,Accounts,7,2
1747,Mrs. Araceli Russel II,Accounts,2,3
1896,Dr. Brooklyn Zboncak,HR,3,2
2332,Candice Feeney,Functional,2,4
2377,Mr. Anibal Murazik III,HR,2,4
2423,Dr. Coy Murphy IV,HR,4,2
2702,Prudence Bailey,Accounts,4,1
2879,Dr. Emmalee Jacobson,HR,4,3
3068,Neva Haley,Functional,7,4
3202,Twila Bartell I,HR,2,3
3493,Ms. Wilhelmine Cruickshank III,Sales,7,3
4139,Thelma Ledner,Functional,1,2
4568,Mrs. Reta Hauck,Functional,6,2
4578,Janice D'Amore PhD,Accounts,5,5
4590,Ms. Gladys Price DVM,Sales,3,1
4674,Jasen Heaney Jr.,HR,3,5
4738,Dr. Kris Baumbach DVM,Sales,4,2
4740,Jerrell Breitenberg,Sales,4,2
4743,Jarret Dickens,Functional,5,1
4758,Prof. Destiney Bogan,Accounts,7,5
4834,Arely Reynolds Jr.,Accounts,2,3
4881,Freida Rohan,Sales,3,1
5204,Maurine Bogan,HR,6,5
5543,Destini Roberts,HR,5,4
5575,Marvin Rogahn,Accounts,4,4
5631,Reid Koss,Sales,5,1
5917,Miss Agnes Goldner DVM,Functional,3,5
5993,Prof. Addison Stanton Sr.,Sales,2,3
6303,Isabelle Lowe,Functional,2,1
6625,Prof. Paxton Wintheiser,Functional,5,1
7281,Sigrid Williamson,HR,2,4
7425,Roberto Greenholt,Functional,3,5
7451,Willard Wolf,HR,5,3
8030,Mr. Delaney Konopelski,Accounts,3,4
8126,Miss Kenna Harris,Accounts,2,2
8604,Mrs. Leda Jaskolski,Functional,7,2
9015,Reid Dach,Accounts,4,4
9631,Jayne Carroll,Functional,4,1
9667,Toby Haag,Functional,5,3
9715,Piper Boyle,Accounts,2,5
9785,Milo Prohaska,Sales,2,2
9889,Prof. Alda Wiza PhD,Accounts,5,3
